Neighborhood,Latitude,Longitude
Arcadia Heights,40.7240614,-111.8142659
Bonneville Hills,40.7368219,-111.8327211
Capitol Hill,40.7957151,-111.9144885
Central City,40.755205,-111.8846536
Central City-Liberty Wells,40.7428176,-111.8833535
Downtown,40.7628232,-111.9084635
East Bench,40.7382812,-111.823032
East Central,40.7511456,-111.8790961
Fairpark,40.7776609,-111.9302753
Glendale,40.7462471,-111.9380718
Greater Avenues,40.8100515,-111.8488839
Jordan Meadows,40.609978,-112.0200772
Liberty Wells,40.7335201,-111.8883088
People's Freeway,40.7419813,-111.918079
Poplar Grove,40.760501,-111.9330477
Rose Park,40.8023237,-111.943955
Sugar House,40.7166976,-111.8597917
Wasatch Hollow,40.7369461,-111.8495449
Westpointe,40.8128618,-112.0553109
Yalecrest,40.746304,-111.8495644